run_id,timestamp,governor,input_bytes,findings,corroborated,reviewer_status,subject
rev_20260817233742_47qr,2026-08-17T23:37:42.222Z,claude,22080,1,0,codex:success claude:self_excluded antigravity:success copilot:success,
rev_20260817235809_61zx,2026-08-17T23:58:09.529Z,claude,14227,4,0,codex:success claude:self_excluded antigravity:success copilot:success,
rev_20260818000555_ky8p,2026-08-18T00:05:55.865Z,claude,76,0,0,codex:success claude:self_excluded antigravity:success copilot:success,
rev_20260818000613_yfm2,2026-08-18T00:06:13.321Z,claude,81,3,0,codex:success claude:self_excluded antigravity:success copilot:success,
rev_20260818012311_bs4c,2026-08-18T01:23:11.211Z,claude,81,3,0,codex:success antigravity:success copilot:success grok:authentication_required,
rev_20260818012547_ntjc,2026-08-18T01:25:47.347Z,claude,16970,2,0,codex:timeout claude:self_excluded antigravity:success copilot:success,
rev_20260818013858_qv88,2026-08-18T01:38:58.353Z,claude,76,0,0,codex:success claude:self_excluded antigravity:success copilot:success grok:invalid_output,
rev_20260818013945_bvkn,2026-08-18T01:39:45.738Z,claude,76,0,0,grok:success,
rev_20260818014036_4t6d,2026-08-18T01:40:36.290Z,claude,76,0,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,
rev_20260818015345_2fb4,2026-08-18T01:53:45.058Z,claude,76,0,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,
rev_20260818020734_e692,2026-08-18T02:07:34.477Z,claude,76,0,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,
rev_20260818020804_zk7p,2026-08-18T02:08:04.477Z,claude,81,4,0,codex:success claude:self_excluded antigravity:success copilot:success grok:success,
rev_20260818030741_aqv6,2026-08-18T03:07:41.116Z,claude,14301,13,0,codex:success claude:self_excluded antigravity:success copilot:success grok:timeout,MOMM-MAN maze game
rev_20260818031654_fn32,2026-08-18T03:16:54.263Z,claude,14301,5,0,codex:timeout claude:self_excluded antigravity:success copilot:success grok:timeout,MOMM-MAN ideation (all-innovator panel)
rev_20260818032618_hga2,2026-08-18T03:26:18.683Z,claude,19493,2,0,codex:timeout claude:self_excluded antigravity:success copilot:success grok:timeout,MOMM-MAN v2 gate
rev_20260818110559_16sj,2026-08-18T11:05:59.637Z,claude,19493,14,0,codex:success claude:self_excluded antigravity:error copilot:success grok:success,MOMM-MAN v2 full-coalition re-evaluation
